Designator,Footprint,Quantity,Value,LCSC Part #
"1&2, 2&3, 28.8[V], 3&4, 4&5, 5&6, 6&7, 7&8, GND",TestPoint_Plated_Hole_D2.0mm,9,TestPoint,
C1,0603,1,1 uF,
"D1, D2, D3, D4, D5, D6, D7, D8",0603,8,LED,
J1,Molex_Nano-Fit_105313-xx07_1x07_P2.50mm_Horizontal,1,bms_taps,
J2,Banana_Jack_1_Pin_4mm,1,bench_vcc,
J3,Banana_Jack_1_Pin_4mm,1,bench_gnd,
J4,Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,1,bms_ref,
J5,Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal,1,bms_gpio_set2,
J6,Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal,1,bms_gpio_set1,
J7,Molex_Nano-Fit_105313-xx05_1x05_P2.50mm_Horizontal,1,therm_set1,
J8,Molex_Nano-Fit_105313-xx05_1x05_P2.50mm_Horizontal,1,therm_set2,
"JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP9",PinHeader_1x02_P2.00mm_Vertical,8,Jumper,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,50Ω,
"R10, R12, R14, R16, R18, R20, R22, R24",0603,8,250 Ω,
"R11, R13, R15, R17, R19, R21, R23, R9",0603,8,10 kΩ,
