Designator,Mid X,Mid Y,Rotation,Layer
1&2,128.428295,-63.26275,0.0,top
2&3,133.66267,-63.26275,0.0,top
28.8[V],165.06892,-63.26275,0.0,top
3&4,138.897045,-63.26275,0.0,top
4&5,144.13142,-63.26275,0.0,top
5&6,149.365795,-63.26275,0.0,top
6&7,154.60017,-63.26275,0.0,top
7&8,159.834545,-63.26275,0.0,top
C1,154.8,-54.8,270.0,top
D1,146.5875,-46.6,0.0,top
D2,146.6125,-43.6,0.0,top
D3,146.6125,-40.6,0.0,top
D4,146.6125,-37.5,0.0,top
D5,146.5875,-32.1,0.0,top
D6,146.6125,-29.0,0.0,top
D7,146.6125,-25.9,0.0,top
D8,146.6125,-22.8,0.0,top
GND,123.19392,-63.26275,0.0,top
J1,143.96892,-75.84775,270.0,top
J2,161.96892,-76.48275,0.0,top
J3,126.06892,-76.38275,0.0,top
J4,161.465,-54.825,0.0,top
J5,161.485,-27.25,0.0,top
J6,161.485,-42.05,0.0,top
J7,126.675,-45.575,180.0,top
J8,126.655,-28.275,180.0,top
JP1,131.847491,-66.88275,0.0,top
JP10,153.8,-43.6,90.0,top
JP11,153.8,-40.6,90.0,top
JP12,153.8,-37.5,90.0,top
JP13,153.8,-32.1,90.0,top
JP14,153.8,-29.0,90.0,top
JP15,153.8,-25.9,90.0,top
JP16,153.8,-22.8,90.0,top
JP2,135.311777,-66.88275,0.0,top
JP3,138.776062,-66.88275,0.0,top
JP4,142.240348,-66.88275,0.0,top
JP5,145.704634,-66.88275,0.0,top
JP6,149.16892,-66.88275,0.0,top
JP7,152.633205,-66.88275,0.0,top
JP8,156.097491,-66.88275,0.0,top
JP9,153.8,-46.6,90.0,top
R1,131.847491,-68.98275,180.0,top
R10,149.7,-46.6,0.0,top
R11,133.28,-48.1,180.0,top
R12,149.7,-43.6,0.0,top
R13,133.28,-45.6,180.0,top
R14,149.7,-40.6,0.0,top
R15,133.28,-43.1,180.0,top
R16,149.7,-37.5,0.0,top
R17,133.28,-33.3,180.0,top
R18,149.675,-32.1,0.0,top
R19,133.28,-30.8,180.0,top
R2,135.31892,-68.98275,180.0,top
R20,149.675,-29.0,0.0,top
R21,133.305,-28.2,180.0,top
R22,149.675,-25.9,0.0,top
R23,133.305,-25.8,180.0,top
R24,149.7,-22.8,0.0,top
R3,138.772491,-68.98275,180.0,top
R4,142.272491,-68.98275,180.0,top
R5,145.672491,-68.98275,180.0,top
R6,149.172491,-68.98275,180.0,top
R7,152.672491,-68.98275,180.0,top
R8,156.047491,-68.98275,180.0,top
R9,133.28,-50.8,180.0,top
